Frame No,Object Name and Class,Object Count
0,0 (0),1
1,0 (0),1
2,0 (0),1
3,0 (0),1
4,0 (0),2
5,0 (0),1
6,0 (0),1
7,0 (0),1
8,0 (0),2
9,0 (0),1
10,0 (0),1
11,0 (0),1
12,0 (0),1
13,0 (0),1
14,0 (0),2
15,0 (0),1
16,0 (0),1
17,0 (0),1
18,0 (0),1
19,0 (0),1
20,0 (0),1
21,0 (0),1
22,0 (0); 0 (0),2
23,0 (0); 0 (0),2
24,0 (0); 0 (0),2
25,0 (0); 0 (0),2
26,0 (0); 0 (0),2
27,0 (0); 0 (0),2
28,0 (0); 0 (0),2
29,0 (0); 0 (0),2
30,0 (0); 0 (0),2
31,0 (0); 0 (0),2
32,0 (0); 0 (0),2
33,0 (0); 0 (0),2
34,0 (0); 0 (0),2
35,0 (0); 0 (0),2
36,0 (0); 0 (0),2
37,0 (0); 0 (0),2
38,0 (0); 0 (0),2
39,0 (0); 0 (0),2
40,0 (0); 0 (0),2
41,0 (0); 0 (0),2
42,0 (0); 0 (0),2
43,0 (0); 0 (0),2
44,0 (0),1
45,0 (0); 0 (0),2
46,0 (0),1
47,0 (0),1
48,0 (0),1
49,0 (0),1
50,0 (0),1
51,0 (0),1
52,0 (0),1
53,0 (0); 0 (0),2
54,0 (0); 0 (0),2
55,0 (0); 0 (0),2
56,0 (0); 0 (0),2
57,0 (0); 0 (0),2
58,0 (0); 0 (0),2
59,0 (0); 0 (0),2
60,0 (0); 0 (0),2
61,0 (0); 0 (0),2
62,0 (0); 0 (0),2
63,0 (0); 0 (0),2
64,0 (0); 0 (0),2
65,0 (0); 0 (0),2
66,0 (0); 0 (0),2
67,0 (0); 0 (0),2
68,0 (0); 0 (0),2
69,0 (0); 0 (0),2
70,0 (0); 0 (0),2
71,0 (0); 0 (0),2
72,0 (0); 0 (0),2
73,0 (0); 0 (0),2
74,0 (0); 0 (0),2
75,0 (0); 0 (0),2
76,0 (0); 0 (0),2
77,0 (0); 0 (0),2
78,0 (0),1
79,0 (0),1
80,0 (0),1
81,0 (0),1
82,0 (0),1
83,0 (0),1
84,0 (0),1
85,0 (0),1
86,0 (0),1
87,0 (0),1
88,0 (0),1
89,0 (0); 0 (0),2
90,0 (0); 0 (0),2
91,0 (0); 0 (0),2
92,0 (0); 0 (0),2
93,0 (0); 0 (0),2
94,0 (0); 0 (0),2
95,0 (0); 0 (0),2
96,0 (0); 0 (0),2
97,0 (0); 0 (0),2
98,0 (0); 0 (0),2
99,0 (0); 0 (0),2
100,0 (0); 0 (0),2
101,0 (0); 0 (0),2
102,0 (0); 0 (0),2
103,0 (0); 0 (0),2
104,0 (0); 0 (0),2
105,0 (0); 0 (0),2
106,0 (0); 0 (0),2
107,0 (0); 0 (0),2
108,0 (0); 0 (0),2
109,0 (0); 0 (0),2
110,0 (0); 0 (0),2
111,0 (0); 0 (0),2
112,0 (0); 0 (0),2
113,0 (0); 0 (0),2
114,0 (0); 0 (0),2
115,0 (0); 0 (0),2
116,0 (0); 0 (0),2
117,0 (0); 0 (0),2
118,0 (0); 0 (0),2
119,0 (0); 0 (0),2
120,0 (0); 0 (0),2
