Frame No,Object Name and Class,Object Count
0,,0
1,,0
2,tank (1),1
3,tank (1),1
4,tank (1),1
5,tank (1),1
6,tank (1),1
7,tank (1),1
8,tank (1),1
9,tank (1),1
10,tank (1),1
11,tank (1),1
12,tank (1),1
13,tank (1),1
14,tank (1),1
15,tank (1),1
16,tank (1),1
17,tank (1),1
18,tank (1),1
19,tank (1),1
20,tank (1),1
21,tank (1),1
22,tank (1),1
23,tank (1),1
24,tank (1),1
25,tank (1),1
26,tank (1),1
27,tank (1),1
28,tank (1),1
29,tank (1),1
30,tank (1),1
31,tank (1),1
32,tank (1),1
33,tank (1),1
34,tank (1),1
35,tank (1),1
36,tank (1),1
37,tank (1),1
38,tank (1),1
39,tank (1),1
40,tank (1),1
41,tank (1),1
42,tank (1),1
43,tank (1),1
44,tank (1),1
45,tank (1),1
46,tank (1),1
47,tank (1),1
48,tank (1),1
49,tank (1),1
50,tank (1),1
51,tank (1),1
52,tank (1),1
53,tank (1),1
54,tank (1),1
55,tank (1),1
56,tank (1),1
57,tank (1),1
58,tank (1),1
59,tank (1),1
60,tank (1),1
61,tank (1),1
62,tank (1),1
63,tank (1),1
64,tank (1),1
65,tank (1),1
66,tank (1),1
67,tank (1),1
68,tank (1),1
69,tank (1),1
70,tank (1),1
71,tank (1),1
72,tank (1),1
73,tank (1),1
74,tank (1),1
75,tank (1),1
76,tank (1),1
77,tank (1),1
78,tank (1),1
79,tank (1),1
80,tank (1),1
81,tank (1),1
82,tank (1),1
83,tank (1),1
84,tank (1),1
85,tank (1),1
86,tank (1),1
87,tank (1),1
88,tank (1),1
89,tank (1),1
90,tank (1),1
91,tank (1),1
92,tank (1),1
93,tank (1),1
94,tank (1),1
95,tank (1),1
96,tank (1),1
97,tank (1),1
98,tank (1),1
99,tank (1),1
100,tank (1),1
101,tank (1),1
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,0
111,,0
112,,0
113,,0
114,,0
115,,0
116,,0
117,,0
118,,0
119,,0
120,,0
121,,0
122,,0
123,,0
124,,0
125,,0
126,,0
127,,0
128,,0
129,,0
130,,0
131,,0
132,,0
133,,0
134,,0
135,,0
136,,0
137,,0
138,,0
139,,0
140,,0
141,,0
142,,0
143,,0
144,,0
145,,0
146,,0
147,,0
148,,0
149,,0
150,,0
151,,0
152,,0
153,,0
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,,0
182,,0
183,,0
184,,0
185,,0
186,,0
187,,0
188,,0
189,,0
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,,0
199,,0
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,0
214,,0
215,,0
216,,0
217,,0
218,,0
219,,0
220,,0
221,,0
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,,0
230,,0
231,,0
232,,0
233,,0
234,,0
235,,0
236,,0
237,,0
238,,0
239,,0
240,,0
241,,0
242,,0
243,,0
244,,0
245,,0
246,,0
247,,0
248,,0
249,,0
250,,0
251,,0
252,,0
253,,0
254,,0
255,,0
256,,0
257,,0
258,,0
259,,0
260,,0
261,,0
262,,0
263,,0
264,,0
265,,0
266,,0
267,,0
268,,0
269,,0
270,,0
271,,0
272,,0
273,,0
274,,0
275,,0
276,,0
277,,0
278,,0
279,,0
280,,0
281,,0
282,,0
283,,0
284,,0
285,,0
286,,0
287,,0
288,,0
289,,0
290,,0
291,,0
292,,0
293,,0
294,,0
295,,0
296,,0
297,,0
298,,0
299,,0
300,,0
301,,0
302,,0
303,,0
304,,0
305,,0
306,tank (1),1
307,,0
308,,0
309,,0
310,,0
311,,0
312,,0
313,,0
314,,0
315,,0
316,,0
317,,0
318,,0
319,,0
320,,0
321,,0
322,,0
323,,0
324,,0
325,,0
326,,0
327,,0
328,,0
329,,0
330,,0
331,,0
332,,0
333,,0
334,,0
335,,0
336,,0
337,,0
338,,0
339,,0
340,,0
341,,0
342,,0
