Frame No,Object Name and Class,Object Count
0,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),24
1,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),24
2,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
3,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
4,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
5,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
6,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
7,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
8,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
9,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
10,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
11,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
12,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
13,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
14,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
15,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
16,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
