Frame No,Object Name and Class,Object Count
0,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
1,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
2,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
3,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
4,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
5,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
6,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
7,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
8,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",6
9,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
10,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
11,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
12,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
13,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
14,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Bushing (15); Elbow (0)",6
15,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Bushing (15); Elbow (0)",6
16,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0); Bushing (15)",6
17,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0); Bushing (15)",6
18,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
19,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
20,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
21,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
22,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
23,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
24,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
25,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
26,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
27,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
28,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
29,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
30,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
31,"Regulator (14); 3"" Nipple (7); Elbow (0); Bushing (15); Elbow (0)",5
32,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
33,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
34,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
35,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
36,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
37,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
38,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
39,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
40,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
41,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
42,"Regulator (14); Bushing (15); 3"" Nipple (7); Elbow (0); Elbow (0)",5
43,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
44,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
45,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
46,"Regulator (14); 3"" Nipple (7); Bushing (15); Elbow (0); Elbow (0)",5
